,Incident number,Date and time,Location,Duration,Attending Stations/Brigades,Result,Day
23,F3900996,24/01/2024 05:46:41,GLENFIELD AUCKLAND,00:17:21,"Birkenhead, Albany",7100: FALSE ALARM (STRU),Wednesday
24,F3900998,24/01/2024 06:03:05,OTAUA WAIKATO DISTRICT,00:00:00,Waiuku,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
25,F3901002,24/01/2024 06:21:10,COROMANDEL THAMES-COROMANDEL DISTRICT,00:00:00,Coromandel,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Wednesday
26,F3901003,24/01/2024 06:27:38,THORNTON WHAKATANE DISTRICT,00:00:00,Edgecumbe,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Wednesday
27,F3901007,24/01/2024 06:55:55,PENROSE AUCKLAND,00:31:05,"Ellerslie, Otahuhu",7100: FALSE ALARM (SPRNKLR),Wednesday
28,F3901021,24/01/2024 07:38:40,GLENHOLME ROTORUA DISTRICT,00:10:48,Rotorua,7100: FALSE ALARM (STRU),Wednesday
29,F3901022,24/01/2024 07:40:48,FLAT BUSH AUCKLAND,00:17:09,"Otara, Papatoetoe",7100: FALSE ALARM (STRU),Wednesday
30,F3901026,24/01/2024 07:49:45,TE RAPA HAMILTON CITY,00:00:00,"Te Rapa, Hamilton",1100: STRUCTURE FIRE (STRU),Wednesday
31,F3901034,24/01/2024 07:54:12,EPSOM AUCKLAND,00:00:00,Remuera,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Wednesday
32,F3901037,24/01/2024 08:01:38,HILLCREST HAMILTON CITY,00:18:01,Chartwell,7100: FALSE ALARM (STRU),Wednesday
33,F3901038,24/01/2024 08:08:07,TITIRANGI AUCKLAND,00:00:00,Titirangi,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
34,F3901043,24/01/2024 08:17:50,BAYSWATER AUCKLAND,00:00:00,"Devonport, Birkenhead",1500: MISCELLANEOUS FIRE (STRU),Wednesday
35,F3901049,24/01/2024 08:28:41,TE ATATU PENINSULA AUCKLAND,00:04:55,Te Atatu,7100: FALSE ALARM (STRU),Wednesday
36,F3901062,24/01/2024 08:49:50,CLENDON PARK AUCKLAND,00:00:00,Manurewa,1100: STRUCTURE FIRE (STRU),Wednesday
37,F3901089,24/01/2024 09:20:48,HAMILTON EAST HAMILTON CITY,00:11:25,Hamilton,7100: FALSE ALARM (SPRNKLR),Wednesday
38,F3901101,24/01/2024 09:31:10,WAIKERIA OTOROHANGA DISTRICT,01:37:55,Te Awamutu,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
39,F3901102,24/01/2024 09:31:41,MOUNT WELLINGTON AUCKLAND,00:00:00,Mount Wellington,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
40,F3901114,24/01/2024 09:41:32,TAUPO TAUPO DISTRICT,00:12:36,Taupo,7100: FALSE ALARM (STRU),Wednesday
41,F3901127,24/01/2024 09:51:56,WHANGAREI HEADS WHANGAREI DISTRICT,00:00:00,Whangarei Heads,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
42,F3901132,24/01/2024 09:54:29,RANGIPO TAUPO DISTRICT,00:00:00,Turangi,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
43,F3901143,24/01/2024 10:04:00,WAITOKI AUCKLAND,00:22:59,Kaukapakapa (Under Construction),"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
44,F3901154,24/01/2024 10:13:47,WAINUI AUCKLAND,00:20:43,"Silverdale, East Coast Bays",7100: FALSE ALARM (STRU),Wednesday
45,F3901161,24/01/2024 10:23:43,KAWERAU KAWERAU DISTRICT,00:00:00,Kawerau,1500: MISCELLANEOUS FIRE (MIN),Wednesday
46,F3901168,24/01/2024 10:27:58,HENDERSON VALLEY AUCKLAND,00:00:00,Henderson,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
47,F3901169,24/01/2024 10:28:41,OSTEND AUCKLAND,00:00:00,"Oneroa, Onetangi","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
48,F3901170,24/01/2024 10:26:52,BOMBAY AUCKLAND,00:00:00,Pukekohe,"1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (MIN)",Wednesday
49,F3901174,24/01/2024 10:31:38,MANGERE AUCKLAND,00:00:00,Onehunga,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
50,F3901180,24/01/2024 10:34:22,PUKEMIRO WAIKATO DISTRICT,00:00:00,Huntly,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Wednesday
51,F3901184,24/01/2024 10:37:31,ONEHUNGA AUCKLAND,00:00:00,"Onehunga, Balmoral, Avondale","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Wednesday
52,F3901203,24/01/2024 10:53:09,POINT ENGLAND AUCKLAND,00:14:31,"Saint Heliers, Mount Wellington",7100: FALSE ALARM (STRU),Wednesday
53,F3901207,24/01/2024 10:54:43,MANUKAU AUCKLAND,00:00:00,"Papatoetoe, Otahuhu",1100: STRUCTURE FIRE (STRU),Wednesday
54,F3901215,24/01/2024 10:59:07,JUDEA TAURANGA CITY,00:16:37,"Tauranga, Greerton",7100: FALSE ALARM (SPRNKLR),Wednesday
55,F3901216,24/01/2024 10:59:19,GREY LYNN AUCKLAND,00:23:57,"Grey Lynn, Parnell",7100: FALSE ALARM (STRU),Wednesday
56,F3901227,24/01/2024 11:14:38,EAST TAMAKI AUCKLAND,00:38:00,Otara,7100: FALSE ALARM (SPRNKLR),Wednesday
57,F3901232,24/01/2024 11:21:30,FAVONA AUCKLAND,00:00:00,Otahuhu,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
58,F3901247,24/01/2024 11:34:37,TIKIPUNGA WHANGAREI DISTRICT,00:00:00,Whangarei,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
59,F3901253,24/01/2024 11:39:52,BURSWOOD AUCKLAND,00:00:00,Howick,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
60,F3901257,24/01/2024 11:53:13,AUCKLAND CENTRAL AUCKLAND,00:14:41,"Auckland City, Parnell",7100: FALSE ALARM (SPRNKLR),Wednesday
61,F3901267,24/01/2024 12:12:52,AUCKLAND CENTRAL AUCKLAND,00:14:00,"Grey Lynn, Auckland City, Parnell",7100: FALSE ALARM (STRU),Wednesday
62,F3901268,24/01/2024 12:12:54,AUCKLAND CENTRAL AUCKLAND,02:03:57,Auckland City,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
63,F3901296,24/01/2024 13:02:49,AUCKLAND CENTRAL AUCKLAND,00:21:37,"Auckland City, Parnell, Te Atatu",7100: FALSE ALARM (STRU),Wednesday
64,F3901297,24/01/2024 13:02:09,WHAKATANE WHAKATANE DISTRICT,00:00:00,Whakatane,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
65,F3901298,24/01/2024 13:02:05,MANGERE AUCKLAND,00:00:00,Mangere,"1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (MIN)",Wednesday
66,F3901301,24/01/2024 13:02:22,COOPERS BEACH FAR NORTH DISTRICT,00:00:00,Mangonui,1500: MISCELLANEOUS FIRE (VEG),Wednesday
67,F3901303,24/01/2024 13:13:35,RED BEACH AUCKLAND,00:00:00,"Silverdale, Otara",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
68,F3901305,24/01/2024 13:15:17,DARGAVILLE KAIPARA DISTRICT,00:00:00,Dargaville,7100: FALSE ALARM (STRU),Wednesday
69,F3901309,24/01/2024 13:19:14,AUCKLAND CENTRAL AUCKLAND,00:10:52,"Parnell, Te Atatu",7100: FALSE ALARM (STRU),Wednesday
70,F3901316,24/01/2024 13:25:30,MANGERE EAST AUCKLAND,01:06:34,"Papatoetoe, Otahuhu","1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZGAS)",Wednesday
71,F3901320,24/01/2024 13:28:07,MANUREWA AUCKLAND,00:00:00,Manurewa,1500: MISCELLANEOUS FIRE (MIN),Wednesday
72,F3901327,24/01/2024 13:36:41,TE PUKE WESTERN BAY OF PLENTY DISTRICT,00:00:00,Te Puke,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
73,F3901338,24/01/2024 13:41:34,KUMEU AUCKLAND,00:00:00,Kumeu,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
74,F3901360,24/01/2024 14:13:25,AUCKLAND CENTRAL AUCKLAND,00:16:31,"Parnell, Auckland City",7100: FALSE ALARM (SPRNKLR),Wednesday
75,F3901364,24/01/2024 14:16:11,WESTGATE AUCKLAND,00:00:00,West Harbour,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
76,F3901365,24/01/2024 14:16:57,GREEN BAY AUCKLAND,00:00:00,Titirangi,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
77,F3901375,24/01/2024 14:30:40,GREY LYNN AUCKLAND,00:00:00,Auckland City,1500: MISCELLANEOUS FIRE (MIN),Wednesday
78,F3901378,24/01/2024 14:34:41,REMUERA AUCKLAND,00:00:00,"Remuera, Te Atatu, Mount Wellington",1100: STRUCTURE FIRE (STRU),Wednesday
79,F3901380,24/01/2024 14:34:24,WAIUKU AUCKLAND,00:14:04,Waiuku,7100: FALSE ALARM (STRU),Wednesday
80,F3901383,24/01/2024 14:39:33,SUNNYNOOK AUCKLAND,00:00:00,"Albany, Takapuna",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
81,F3901387,24/01/2024 14:45:46,PUKEKOHE AUCKLAND,00:26:40,Pukekohe,7100: FALSE ALARM (SPRNKLR),Wednesday
82,F3901388,24/01/2024 14:45:06,KINLEITH SOUTH WAIKATO DISTRICT,00:00:00,"Mangakino, Tokoroa, Taupo, Lake Taupo, Southern Lakes",1300: VEGETATION FIRE (VEG),Wednesday
83,F3901389,24/01/2024 14:44:49,SAINT ANDREWS HAMILTON CITY,00:00:00,Te Rapa,,Wednesday
84,F3901395,24/01/2024 14:53:27,PAPAROA KAIPARA DISTRICT,00:00:00,"Paparoa, Maungaturoto",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (VEG),Wednesday
85,F3901405,24/01/2024 15:01:23,AUCKLAND CENTRAL AUCKLAND,00:14:19,"Auckland City, Parnell",7100: FALSE ALARM (STRU),Wednesday
86,F3901412,24/01/2024 15:07:41,BIRKDALE AUCKLAND,00:00:00,Birkenhead,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
87,F3901414,24/01/2024 15:07:56,AUCKLAND CENTRAL AUCKLAND,00:00:00,Auckland City,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
88,F3901428,24/01/2024 15:28:56,GLENBROOK AUCKLAND,00:17:42,Glenbrook Steel Mill,7100: FALSE ALARM (STRU),Wednesday
89,F3901436,24/01/2024 15:42:24,WHAKAMARAMA WESTERN BAY OF PLENTY DISTRICT,00:00:00,Omokoroa,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
90,F3901444,24/01/2024 15:53:02,WEYMOUTH AUCKLAND,00:00:00,Manurewa,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
91,F3901449,24/01/2024 15:55:53,NGATIRA SOUTH WAIKATO DISTRICT,00:00:00,"Mamaku, Rotorua","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Wednesday
92,F3901451,24/01/2024 15:56:19,MANGERE EAST AUCKLAND,00:25:07,Mangere,1100: STRUCTURE FIRE (MIN),Wednesday
93,F3901455,24/01/2024 15:59:14,PUTAUAKI KAWERAU DISTRICT,00:28:55,Kawerau,7100: FALSE ALARM (STRU),Wednesday
94,F3901456,24/01/2024 15:58:26,PONSONBY AUCKLAND,00:11:42,Grey Lynn,7100: FALSE ALARM (MIN),Wednesday
95,F3901457,24/01/2024 15:59:38,AUCKLAND CENTRAL AUCKLAND,00:00:00,Auckland City,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
96,F3901459,24/01/2024 16:00:00,AUCKLAND CENTRAL AUCKLAND,00:00:00,Auckland City,1500: MISCELLANEOUS FIRE (MIN),Wednesday
97,F3901475,24/01/2024 16:19:28,HAMILTON CENTRAL HAMILTON CITY,00:11:12,Hamilton,7100: FALSE ALARM (SPRNKLR),Wednesday
98,F3901478,24/01/2024 16:23:28,SOUTH HEAD AUCKLAND,00:00:00,Shelly Beach,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
99,F3901479,24/01/2024 16:24:14,WHAREORA WHANGAREI DISTRICT,00:00:00,Whangarei,1100: STRUCTURE FIRE (STRU),Wednesday
100,F3901480,24/01/2024 16:25:49,PAPAMOA BEACH TAURANGA CITY,00:00:00,Mount Maunganui,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Wednesday
101,F3901489,24/01/2024 16:31:51,TAKANINI AUCKLAND,00:00:00,Papakura,1500: MISCELLANEOUS FIRE (MIN),Wednesday
102,F3901496,24/01/2024 16:35:53,AUCKLAND CENTRAL AUCKLAND,00:13:31,"Auckland City, Parnell",7100: FALSE ALARM (STRU),Wednesday
103,F3901511,24/01/2024 16:42:30,MANGERE EAST AUCKLAND,00:00:00,Mangere,1500: MISCELLANEOUS FIRE (MIN),Wednesday
104,F3901523,24/01/2024 16:52:04,POKENO WAIKATO DISTRICT,00:00:00,"Pokeno, Tuakau",1300: VEGETATION FIRE (VEG),Wednesday
105,F3901532,24/01/2024 16:56:52,PAPATOETOE AUCKLAND,00:17:52,Papatoetoe,7100: FALSE ALARM (SPRNKLR),Wednesday
106,F3901565,24/01/2024 17:58:13,AUCKLAND CENTRAL AUCKLAND,00:13:18,"Auckland City, Parnell",7100: FALSE ALARM (SPRNKLR),Wednesday
107,F3901566,24/01/2024 17:57:51,MAKETU WESTERN BAY OF PLENTY DISTRICT,00:00:00,Maketu,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)",Wednesday
108,F3901582,24/01/2024 18:41:14,RAUMANGA WHANGAREI DISTRICT,00:00:00,Whangarei,1500: MISCELLANEOUS FIRE (MIN),Wednesday
109,F3901587,24/01/2024 18:46:32,DOME FOREST AUCKLAND,00:00:00,"Warkworth, Wellsford",,Wednesday
110,F3901595,24/01/2024 18:57:23,SUNNYNOOK AUCKLAND,01:10:00,"Albany, Takapuna, East Coast Bays",,Wednesday
111,F3901607,24/01/2024 19:13:09,EDEN TERRACE AUCKLAND,00:13:41,"Auckland City, Parnell, Balmoral",7100: FALSE ALARM (STRU),Wednesday
112,F3901610,24/01/2024 19:15:12,PANMURE AUCKLAND,00:00:00,Mount Wellington,1500: MISCELLANEOUS FIRE (MIN),Wednesday
113,F3901612,24/01/2024 19:21:23,BETHLEHEM TAURANGA CITY,00:00:00,Tauranga,7100: FALSE ALARM (STRU),Wednesday
114,F3901621,24/01/2024 19:40:18,RAUMANGA WHANGAREI DISTRICT,00:00:00,Whangarei,1500: MISCELLANEOUS FIRE (MIN),Wednesday
115,F3901631,24/01/2024 20:07:53,FAIRFIELD HAMILTON CITY,00:00:00,Chartwell,1500: MISCELLANEOUS FIRE (MIN),Wednesday
116,F3901634,24/01/2024 20:10:06,AUCKLAND CENTRAL AUCKLAND,00:50:02,"Auckland City, Parnell",,Wednesday
117,F3901637,24/01/2024 20:23:43,MOUNT WELLINGTON AUCKLAND,00:17:17,"Mount Wellington, Otahuhu",,Wednesday
118,F3901640,24/01/2024 20:24:24,AUCKLAND CENTRAL AUCKLAND,00:00:00,Grey Lynn,,Wednesday
119,F3901653,24/01/2024 21:10:20,FRANKTON HAMILTON CITY,00:00:00,"Hamilton, Te Rapa",1300: VEGETATION FIRE (STRU),Wednesday
120,F3901656,24/01/2024 21:24:03,WELLSFORD AUCKLAND,01:05:12,Wellsford,,Wednesday
121,F3901657,24/01/2024 21:21:28,KINLEITH SOUTH WAIKATO DISTRICT,00:00:00,Mangakino,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (NAT2),Wednesday
122,F3901660,24/01/2024 21:31:10,AVONDALE AUCKLAND,00:00:00,Avondale,,Wednesday
123,F3901662,24/01/2024 21:39:16,WOODHILL WHANGAREI DISTRICT,00:00:00,Whangarei,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
124,F3901665,24/01/2024 21:58:41,REMUERA AUCKLAND,00:00:00,"Ellerslie, Remuera",,Wednesday
0,F3900286,23/01/2024 00:45:51,NGARUAWAHIA WAIKATO DISTRICT,00:00:00,Ngaruawahia,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Tuesday
1,F3900290,23/01/2024 01:02:20,MOUNT EDEN AUCKLAND,00:00:00,Balmoral,7100: FALSE ALARM (STRU),Tuesday
2,F3900298,23/01/2024 01:32:34,GRAFTON AUCKLAND,00:00:00,Auckland City,1300: VEGETATION FIRE (MIN),Tuesday
3,F3900299,23/01/2024 02:00:25,PAPAMOA BEACH TAURANGA CITY,00:15:41,Papamoa,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
4,F3900302,23/01/2024 02:25:56,GRAFTON AUCKLAND,00:15:45,"Auckland City, Parnell",7100: FALSE ALARM (SPRNKLR),Tuesday
5,F3900307,23/01/2024 02:45:48,MOUNT MAUNGANUI TAURANGA CITY,00:00:00,"Mount Maunganui, Tauranga",1500: MISCELLANEOUS FIRE (STRU),Tuesday
6,F3900308,23/01/2024 02:50:14,TAUPO TAUPO DISTRICT,00:00:00,Taupo,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
7,F3900310,23/01/2024 02:55:37,POLLOK AUCKLAND,00:32:53,"Awhitu, Waiuku",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (STRU),Tuesday
8,F3900315,23/01/2024 03:18:01,AUCKLAND CENTRAL AUCKLAND,00:00:00,Auckland City,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Tuesday
9,F3900316,23/01/2024 03:37:35,AUCKLAND CENTRAL AUCKLAND,00:29:23,"Parnell, Auckland City",7100: FALSE ALARM (SPRNKLR),Tuesday
10,F3900318,23/01/2024 03:44:31,MATAURI BAY FAR NORTH DISTRICT,00:00:00,"Cavalli, Kaeo, Kerikeri",1100: STRUCTURE FIRE (STRU),Tuesday
11,F3900320,23/01/2024 03:56:15,GLEN EDEN AUCKLAND,00:19:37,Glen Eden,7100: FALSE ALARM (MIN),Tuesday
12,F3900321,23/01/2024 04:08:02,PIPIROA HAURAKI DISTRICT,00:00:00,"Thames, Turua","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
13,F3900323,23/01/2024 04:12:02,MANGERE BRIDGE AUCKLAND,00:00:00,Mangere,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)",Tuesday
14,F3900325,23/01/2024 04:25:58,TAUPO TAUPO DISTRICT,00:00:00,Taupo,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Tuesday
15,F3900331,23/01/2024 05:08:42,WAHAROA MATAMATA-PIAKO DISTRICT,00:00:00,Matamata,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
16,F3900332,23/01/2024 05:09:51,GRAFTON AUCKLAND,00:12:32,"Parnell, Auckland City",7100: FALSE ALARM (SPRNKLR),Tuesday
17,F3900334,23/01/2024 05:19:41,AUCKLAND CENTRAL AUCKLAND,00:00:00,Auckland City,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
18,F3900340,23/01/2024 06:05:38,CHARTWELL HAMILTON CITY,00:00:00,"Chartwell, Te Rapa",7100: FALSE ALARM (SPRNKLR),Tuesday
19,F3900343,23/01/2024 06:18:22,HILLCREST AUCKLAND,00:21:39,"Takapuna, Birkenhead",7100: FALSE ALARM (STRU),Tuesday
20,F3900352,23/01/2024 07:02:53,GRAFTON AUCKLAND,00:13:20,"Auckland City, Parnell",7100: FALSE ALARM (SPRNKLR),Tuesday
21,F3900362,23/01/2024 07:34:16,TE KAUWHATA WAIKATO DISTRICT,00:13:07,Te Kauwhata,7100: FALSE ALARM (STRU),Tuesday
22,F3900368,23/01/2024 07:47:09,GREERTON TAURANGA CITY,00:00:00,Greerton,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Tuesday
23,F3900373,23/01/2024 08:00:41,KERIKERI FAR NORTH DISTRICT,00:19:22,Kerikeri,7100: FALSE ALARM (STRU),Tuesday
24,F3900376,23/01/2024 08:08:42,MANUREWA AUCKLAND,00:00:00,"Manurewa, Papatoetoe",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC),Tuesday
25,F3900379,23/01/2024 08:09:53,WHAKAMARU TAUPO DISTRICT,00:00:00,Mangakino,7100: FALSE ALARM (STRU),Tuesday
26,F3900382,23/01/2024 08:17:31,TAURANGA TAURANGA CITY,00:09:11,Tauranga,7100: FALSE ALARM (SPRNKLR),Tuesday
27,F3900396,23/01/2024 08:39:32,MEADOWBANK AUCKLAND,00:00:00,"Mount Wellington, Remuera, Auckland City, Papatoetoe",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCHEVY),Tuesday
28,F3900399,23/01/2024 08:39:34,PAPAKURA AUCKLAND,00:00:00,Papakura,1500: MISCELLANEOUS FIRE (VEG),Tuesday
29,F3900413,23/01/2024 08:49:36,HENDERSON AUCKLAND,00:00:00,Henderson,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Tuesday
30,F3900415,23/01/2024 08:51:25,GRAFTON AUCKLAND,00:08:37,"Parnell, Auckland City",7100: FALSE ALARM (SPRNKLR),Tuesday
31,F3900427,23/01/2024 09:03:38,TE PUKE WESTERN BAY OF PLENTY DISTRICT,00:36:14,Te Puke,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Tuesday
32,F3900428,23/01/2024 09:07:12,POKENO WAIKATO DISTRICT,00:00:00,"Pokeno, Tuakau",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Tuesday
33,F3900431,23/01/2024 09:13:08,AUCKLAND CENTRAL AUCKLAND,00:38:52,"Auckland City, Grey Lynn",7100: FALSE ALARM (SPRNKLR),Tuesday
34,F3900432,23/01/2024 09:15:11,GREENHITHE AUCKLAND,00:00:00,Albany,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
35,F3900435,23/01/2024 09:18:01,HOBSONVILLE AUCKLAND,00:14:08,"West Harbour, Te Atatu",7100: FALSE ALARM (STRU),Tuesday
36,F3900442,23/01/2024 09:23:51,GORDONTON WAIKATO DISTRICT,00:00:00,Morrinsville,1100: STRUCTURE FIRE (STRU),Tuesday
37,F3900454,23/01/2024 09:37:19,BELMONT AUCKLAND,00:21:18,Devonport,7100: FALSE ALARM (MIN),Tuesday
38,F3900466,23/01/2024 09:46:53,HENDERSON AUCKLAND,00:21:03,Henderson,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Tuesday
39,F3900478,23/01/2024 10:02:41,WHAREPAPA SOUTH OTOROHANGA DISTRICT,00:00:00,Putaruru,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
40,F3900486,23/01/2024 10:12:08,FRANKTON HAMILTON CITY,00:25:28,Hamilton,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
