,Incident number,Date and time,Location,Duration,Attending Stations/Brigades,Result,Day
14,F3901115,24/01/2024 09:41:54,SYDENHAM CHRISTCHURCH CITY,00:11:00,Christchurch City,7100: FALSE ALARM (SPRNKLR),Wednesday
15,F3901191,24/01/2024 10:42:22,CHRISTCHURCH CENTRAL CHRISTCHURCH CITY,00:10:08,Christchurch City,7100: FALSE ALARM (STRU),Wednesday
16,F3901206,24/01/2024 10:54:46,HALFWAY BUSH DUNEDIN CITY,00:25:46,"Roslyn, Willowbank",7100: FALSE ALARM (SPRNKLR),Wednesday
17,F3901214,24/01/2024 10:58:12,QUEENSTOWN QUEENSTOWN-LAKES DISTRICT,00:07:20,Queenstown,7100: FALSE ALARM (STRU),Wednesday
18,F3901240,24/01/2024 11:27:28,NORTH DUNEDIN DUNEDIN CITY,00:27:50,"Dunedin, Willowbank, Roslyn",7100: FALSE ALARM (STRU),Wednesday
19,F3901241,24/01/2024 11:27:47,WESTPORT BULLER DISTRICT,00:19:44,Westport,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Wednesday
20,F3901242,24/01/2024 11:27:13,MATAURA GORE DISTRICT,00:00:00,Mataura,"3100: RESCUE,EMERGENCY,MEDICAL CALL (RESC)",Wednesday
21,F3901254,24/01/2024 11:44:04,OMAKAU CENTRAL OTAGO DISTRICT,00:36:47,Omakau,1300: VEGETATION FIRE (VEG),Wednesday
22,F3901264,24/01/2024 11:59:25,LOBURN WAIMAKARIRI DISTRICT,00:41:28,Rangiora,1300: VEGETATION FIRE (MIN),Wednesday
23,F3901287,24/01/2024 12:52:30,SMITHFIELD TIMARU DISTRICT,00:22:53,"Washdyke, Timaru",7100: FALSE ALARM (STRU),Wednesday
24,F3901314,24/01/2024 13:25:22,OXFORD WAIMAKARIRI DISTRICT,00:11:41,Oxford,7100: FALSE ALARM (SPRNKLR),Wednesday
25,F3901315,24/01/2024 13:26:01,ARANUI CHRISTCHURCH CITY,00:02:47,Anzac,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Wednesday
26,F3901328,24/01/2024 13:36:20,REDWOOD CHRISTCHURCH CITY,00:00:00,Redwood,1500: MISCELLANEOUS FIRE (MIN),Wednesday
27,F3901336,24/01/2024 13:40:48,PROGRESS VALLEY SOUTHLAND DISTRICT,01:12:45,"Tokanui, Waikawa","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Wednesday
28,F3901346,24/01/2024 13:50:33,AVONHEAD CHRISTCHURCH CITY,00:11:49,"Christchurch Airport, Ilam",7100: FALSE ALARM (SPRNKLR),Wednesday
29,F3901356,24/01/2024 14:05:32,WAIMUMU GORE DISTRICT,01:06:45,Mataura,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)",Wednesday
30,F3901358,24/01/2024 14:08:02,ADDINGTON CHRISTCHURCH CITY,00:00:00,Spreydon,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
31,F3901362,24/01/2024 14:15:56,CHRISTCHURCH CENTRAL CHRISTCHURCH CITY,00:20:34,Christchurch City,7100: FALSE ALARM (SPRNKLR),Wednesday
32,F3901372,24/01/2024 14:28:51,RICHMOND TASMAN DISTRICT,00:27:25,Richmond,7100: FALSE ALARM (MIN),Wednesday
33,F3901382,24/01/2024 14:36:28,ARANUI CHRISTCHURCH CITY,00:00:00,Anzac,"3100: RESCUE,EMERGENCY,MEDICAL CALL (RESC)",Wednesday
34,F3901425,24/01/2024 15:24:22,CHRISTCHURCH CENTRAL CHRISTCHURCH CITY,00:14:38,Christchurch City,7100: FALSE ALARM (SPRNKLR),Wednesday
35,F3901427,24/01/2024 15:28:38,DUNEDIN CENTRAL DUNEDIN CITY,00:20:24,"Dunedin, St Kilda",7100: FALSE ALARM (STRU),Wednesday
36,F3901431,24/01/2024 15:32:11,ALBERT TOWN QUEENSTOWN-LAKES DISTRICT,00:00:00,"Luggate, Wanaka",1300: VEGETATION FIRE (VEG),Wednesday
37,F3901441,24/01/2024 15:51:02,OAMARU NORTH WAITAKI DISTRICT,00:00:00,Oamaru,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Wednesday
38,F3901464,24/01/2024 16:00:27,LINTLEY SOUTHLAND DISTRICT,00:00:00,Balfour,7100: FALSE ALARM (STRU),Wednesday
39,F3901493,24/01/2024 16:33:40,PHILLIPSTOWN CHRISTCHURCH CITY,00:00:00,Christchurch City,1500: MISCELLANEOUS FIRE (MIN),Wednesday
40,F3901495,24/01/2024 16:34:34,HANMER SPRINGS HURUNUI DISTRICT,00:00:00,"Hanmer Springs, Hanmer VRFF",1300: VEGETATION FIRE (VEG),Wednesday
41,F3901499,24/01/2024 16:38:09,BLENHEIM MARLBOROUGH DISTRICT,00:11:46,Blenheim,7100: FALSE ALARM (SPRNKLR),Wednesday
42,F3901518,24/01/2024 16:50:05,DUNEDIN CENTRAL DUNEDIN CITY,00:25:40,"Dunedin, Willowbank, Roslyn",7100: FALSE ALARM (SPRNKLR),Wednesday
43,F3901526,24/01/2024 16:53:24,ROXBURGH EAST CENTRAL OTAGO DISTRICT,02:16:22,"Roxburgh, Millers Flat","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Wednesday
44,F3901556,24/01/2024 17:23:28,NELSON NELSON CITY,00:11:24,Nelson,7100: FALSE ALARM (STRU),Wednesday
45,F3901560,24/01/2024 17:35:51,KAIRAKI WAIMAKARIRI DISTRICT,00:50:37,Pines Beach,1300: VEGETATION FIRE (MIN),Wednesday
46,F3901563,24/01/2024 17:46:32,RIVERTON SOUTHLAND DISTRICT,00:23:38,Riverton,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Wednesday
47,F3901584,24/01/2024 18:46:12,WALTHAM CHRISTCHURCH CITY,00:00:00,Christchurch City,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
48,F3901604,24/01/2024 19:05:45,SEDDON MARLBOROUGH DISTRICT,00:00:00,Seddon,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
49,F3901620,24/01/2024 19:38:03,MOANA GREY DISTRICT,00:00:00,Moana,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
50,F3901625,24/01/2024 19:46:56,CLINTON CLUTHA DISTRICT,00:00:00,Clinton,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
51,F3901629,24/01/2024 20:05:52,SYDENHAM CHRISTCHURCH CITY,00:29:19,Christchurch City,7100: FALSE ALARM (STRU),Wednesday
52,F3901639,24/01/2024 20:29:05,KENNINGTON INVERCARGILL CITY,00:19:55,"Invercargill, Kingswell",7100: FALSE ALARM (STRU),Wednesday
53,F3901642,24/01/2024 20:33:11,HALSWELL CHRISTCHURCH CITY,00:15:12,Wigram,7100: FALSE ALARM (MIN),Wednesday
54,F3901644,24/01/2024 20:34:36,NORTH EAST VALLEY DUNEDIN CITY,00:00:00,Willowbank,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
55,F3901647,24/01/2024 20:54:22,CROMWELL CENTRAL OTAGO DISTRICT,01:13:28,Cromwell,1100: STRUCTURE FIRE (STRU),Wednesday
56,F3901655,24/01/2024 21:18:12,BRADFORD DUNEDIN CITY,00:09:01,Roslyn,7100: FALSE ALARM (MIN),Wednesday
57,F3901666,24/01/2024 22:01:08,SYDENHAM CHRISTCHURCH CITY,00:08:22,Christchurch City,7100: FALSE ALARM (STRU),Wednesday
58,F3901667,24/01/2024 22:04:48,APPLEBY INVERCARGILL CITY,00:00:00,Invercargill,1100: STRUCTURE FIRE (STRU),Wednesday
0,F3900281,23/01/2024 00:19:00,FRANKTON QUEENSTOWN-LAKES DISTRICT,00:26:22,Frankton,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Tuesday
1,F3900288,23/01/2024 00:57:55,OXFORD WAIMAKARIRI DISTRICT,00:21:01,Oxford,1300: VEGETATION FIRE (VEG),Tuesday
2,F3900297,23/01/2024 01:28:08,DUVAUCHELLE CHRISTCHURCH CITY,00:42:01,Akaroa,7100: FALSE ALARM (STRU),Tuesday
3,F3900300,23/01/2024 02:02:55,WYNDHAM SOUTHLAND DISTRICT,00:12:48,"Wyndham, Edendale",7100: FALSE ALARM (STRU),Tuesday
4,F3900305,23/01/2024 02:33:32,CHRISTCHURCH CENTRAL CHRISTCHURCH CITY,00:34:02,"Spreydon, Christchurch City, Ilam, Wigram",7100: FALSE ALARM (STRU),Tuesday
5,F3900326,23/01/2024 04:33:43,NELSON NELSON CITY,00:19:28,Nelson,7100: FALSE ALARM (STRU),Tuesday
6,F3900327,23/01/2024 04:38:39,SPOTSWOOD HURUNUI DISTRICT,01:25:22,Cheviot,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCHEVY)",Tuesday
7,F3900328,23/01/2024 04:51:54,NELSON NELSON CITY,00:32:09,Nelson,7100: FALSE ALARM (STRU),Tuesday
8,F3900330,23/01/2024 05:06:46,BURNHAM SELWYN DISTRICT,00:31:16,"Rolleston, Dunsandel",7100: FALSE ALARM (SPRNKLR),Tuesday
9,F3900335,23/01/2024 05:20:43,NELSON NELSON CITY,00:05:04,Nelson,7100: FALSE ALARM (STRU),Tuesday
10,F3900339,23/01/2024 05:57:30,BURNHAM SELWYN DISTRICT,00:19:13,"Rolleston, Dunsandel",7100: FALSE ALARM (SPRNKLR),Tuesday
11,F3900345,23/01/2024 06:21:32,SHEFFIELD SELWYN DISTRICT,00:00:00,"Sheffield, Springfield",1500: MISCELLANEOUS FIRE (VEG),Tuesday
12,F3900351,23/01/2024 07:01:01,BEXLEY CHRISTCHURCH CITY,00:10:39,Anzac,1500: MISCELLANEOUS FIRE (MIN),Tuesday
13,F3900354,23/01/2024 07:10:08,BRADFORD DUNEDIN CITY,00:00:00,"Roslyn, Lookout Point",7100: FALSE ALARM (SPRNKLR),Tuesday
14,F3900356,23/01/2024 07:15:16,HEATHCOTE VALLEY CHRISTCHURCH CITY,00:16:20,"Woolston, Spreydon",7100: FALSE ALARM (STRU),Tuesday
15,F3900361,23/01/2024 07:24:30,ARANUI CHRISTCHURCH CITY,00:00:00,Anzac,1500: MISCELLANEOUS FIRE (MIN),Tuesday
16,F3900390,23/01/2024 08:31:00,NORTH TAIERI DUNEDIN CITY,00:58:20,"Roslyn, Lookout Point, Mosgiel","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
17,F3900398,23/01/2024 08:40:33,ROARING MEG QUEENSTOWN-LAKES DISTRICT,00:40:57,Arrowtown,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)",Tuesday
18,F3900402,23/01/2024 08:43:24,EDENDALE SOUTHLAND DISTRICT,01:28:00,"Edendale, Kingswell","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
19,F3900418,23/01/2024 08:53:45,OTEMATATA WAITAKI DISTRICT,00:41:30,Omarama,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Tuesday
20,F3900433,23/01/2024 09:15:43,RICCARTON CHRISTCHURCH CITY,00:10:37,"Ilam, Spreydon",7100: FALSE ALARM (STRU),Tuesday
21,F3900449,23/01/2024 09:28:28,MARUIA TASMAN DISTRICT,00:00:00,Murchison,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
22,F3900492,23/01/2024 10:18:38,BROCKVILLE DUNEDIN CITY,00:24:22,"Roslyn, Lookout Point","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
23,F3900495,23/01/2024 10:21:01,TUAMARINA MARLBOROUGH DISTRICT,00:39:55,Rarangi,1300: VEGETATION FIRE (VEG),Tuesday
24,F3900564,23/01/2024 11:36:07,OMARAMA WAITAKI DISTRICT,01:40:29,Omarama,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Tuesday
25,F3900568,23/01/2024 11:48:22,HALSWELL CHRISTCHURCH CITY,00:15:22,Wigram,7100: FALSE ALARM (STRU),Tuesday
26,F3900585,23/01/2024 12:09:55,WAIKOUAITI DUNEDIN CITY,00:00:00,"Waikouaiti, Palmerston",7100: FALSE ALARM (STRU),Tuesday
27,F3900597,23/01/2024 12:21:21,LYTTELTON CHRISTCHURCH CITY,00:00:00,Woolston,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Tuesday
28,F3900609,23/01/2024 12:46:18,DIAMOND HARBOUR CHRISTCHURCH CITY,00:49:06,Diamond Harbour,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Tuesday
29,F3900613,23/01/2024 12:52:12,WAIKOUAITI DUNEDIN CITY,00:00:00,Waikouaiti,7100: FALSE ALARM (STRU),Tuesday
30,F3900643,23/01/2024 13:33:31,ILAM CHRISTCHURCH CITY,00:09:34,"Ilam, Wigram",7100: FALSE ALARM (STRU),Tuesday
31,F3900648,23/01/2024 13:38:00,RICHMOND TASMAN DISTRICT,00:24:06,Richmond,7100: FALSE ALARM (MIN),Tuesday
32,F3900658,23/01/2024 13:48:23,NORTH DUNEDIN DUNEDIN CITY,00:18:55,"Willowbank, Dunedin",7100: FALSE ALARM (SPRNKLR),Tuesday
33,F3900671,23/01/2024 13:58:32,HARINGTON POINT DUNEDIN CITY,01:21:46,Portobello,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Tuesday
34,F3900676,23/01/2024 14:02:53,OKARAMIO MARLBOROUGH DISTRICT,02:59:45,"Renwick, Waihopai, Blenheim VRFF",1200: MOBILE PROPERTY FIRE (VEG),Tuesday
35,F3900680,23/01/2024 14:11:34,NORTH DUNEDIN DUNEDIN CITY,00:00:00,Willowbank,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)",Tuesday
36,F3900681,23/01/2024 14:12:29,MERIVALE CHRISTCHURCH CITY,00:15:56,Christchurch City,7100: FALSE ALARM (STRU),Tuesday
37,F3900699,23/01/2024 14:34:28,ARROWTOWN QUEENSTOWN-LAKES DISTRICT,00:16:33,Arrowtown,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Tuesday
38,F3900703,23/01/2024 14:43:57,RICCARTON CHRISTCHURCH CITY,00:14:04,Ilam,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
39,F3900716,23/01/2024 15:00:35,GIBBSTON QUEENSTOWN-LAKES DISTRICT,00:00:00,"Arrowtown, Frankton",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (STRU),Tuesday
40,F3900719,23/01/2024 15:03:52,INVERCARGILL INVERCARGILL CITY,00:00:00,"Invercargill, Kingswell",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (STRU),Tuesday
41,F3900738,23/01/2024 15:52:13,QUEENSTOWN QUEENSTOWN-LAKES DISTRICT,00:00:00,Queenstown,7100: FALSE ALARM (STRU),Tuesday
42,F3900739,23/01/2024 15:53:04,OAMARU WAITAKI DISTRICT,00:00:00,Oamaru,1500: MISCELLANEOUS FIRE (MIN),Tuesday
43,F3900739,23/01/2024 15:53:04,OAMARU WAITAKI DISTRICT,00:00:00,Oamaru,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Tuesday
44,F3900759,23/01/2024 16:37:28,DUNEDIN CENTRAL DUNEDIN CITY,00:00:00,Dunedin,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Tuesday
45,F3900783,23/01/2024 17:27:57,RAKAIA ASHBURTON DISTRICT,00:00:00,Rakaia,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Tuesday
46,F3900784,23/01/2024 17:29:18,SAINT CLAIR DUNEDIN CITY,00:00:00,"St Kilda, Lookout Point","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
47,F3900788,23/01/2024 17:35:53,WILLOWBY ASHBURTON DISTRICT,01:12:36,Ashburton,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
48,F3900789,23/01/2024 17:38:01,SYDENHAM CHRISTCHURCH CITY,00:18:42,"Spreydon, Christchurch City","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
49,F3900791,23/01/2024 17:45:02,QUEENSTOWN QUEENSTOWN-LAKES DISTRICT,00:13:16,Queenstown,7100: FALSE ALARM (STRU),Tuesday
50,F3900795,23/01/2024 18:01:41,NORTHCOTE CHRISTCHURCH CITY,00:00:00,Redwood,1200: MOBILE PROPERTY FIRE (MIN),Tuesday
51,F3900816,23/01/2024 18:34:51,CHRISTCHURCH CENTRAL CHRISTCHURCH CITY,00:00:00,Banks Peninsula,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (EXERCISE),Tuesday
52,F3900821,23/01/2024 18:47:28,NELSON SOUTH NELSON CITY,00:13:42,Nelson,7100: FALSE ALARM (STRU),Tuesday
53,F3900829,23/01/2024 19:04:59,NORTH TAIERI DUNEDIN CITY,00:00:00,Mosgiel,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
54,F3900850,23/01/2024 19:34:08,FRANZ JOSEF GLACIER WESTLAND DISTRICT,00:00:00,Franz Josef,1100: STRUCTURE FIRE (MIN),Tuesday
55,F3900858,23/01/2024 20:02:35,SPRINGFIELD SELWYN DISTRICT,00:00:00,"Sheffield, Springfield","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
56,F3900862,23/01/2024 20:06:28,CHRISTCHURCH CENTRAL CHRISTCHURCH CITY,00:00:00,Rangiora,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (EXERCISE),Tuesday
57,F3900869,23/01/2024 20:33:44,GORE GORE DISTRICT,00:00:00,Gore,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Tuesday
58,F3900874,23/01/2024 21:14:32,LITTLE RIVER CHRISTCHURCH CITY,00:16:53,Little River,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Tuesday
59,F3900888,23/01/2024 21:55:26,SPREYDON CHRISTCHURCH CITY,00:00:00,Spreydon,1100: STRUCTURE FIRE (STRU),Tuesday
60,F3900889,23/01/2024 22:03:31,ROCKDALE INVERCARGILL CITY,00:44:29,Kingswell,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)",Tuesday
61,F3900907,23/01/2024 22:32:45,CHRISTCHURCH CENTRAL CHRISTCHURCH CITY,00:21:22,Christchurch City,7100: FALSE ALARM (STRU),Tuesday
0,F3899648,22/01/2024 00:31:07,EARNSCLEUGH CENTRAL OTAGO DISTRICT,00:00:00,"Alexandra, Clyde, Dunstan",7100: FALSE ALARM (STRU),Monday
1,F3899653,22/01/2024 00:50:00,HAVELOCK MARLBOROUGH DISTRICT,02:18:05,Havelock,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Monday
2,F3899656,22/01/2024 01:08:32,RAVENSBOURNE DUNEDIN CITY,00:00:00,"Ravensbourne, Willowbank","3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Monday
3,F3899661,22/01/2024 02:08:51,WOODEND WAIMAKARIRI DISTRICT,01:05:38,Woodend,1200: MOBILE PROPERTY FIRE (MIN),Monday
4,F3899673,22/01/2024 02:53:26,SOCKBURN CHRISTCHURCH CITY,00:00:00,Ilam,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
5,F3899686,22/01/2024 04:21:46,WEST MELTON SELWYN DISTRICT,00:00:00,"Rolleston, West Melton",1500: MISCELLANEOUS FIRE (MIN),Monday
6,F3899690,22/01/2024 04:40:21,DIAMOND HARBOUR CHRISTCHURCH CITY,00:53:27,Diamond Harbour,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
7,F3899691,22/01/2024 04:43:22,QUEENSTOWN QUEENSTOWN-LAKES DISTRICT,00:00:00,Queenstown,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (NAT2),Monday
8,F3899699,22/01/2024 05:37:09,MATAKANUI CENTRAL OTAGO DISTRICT,00:00:00,"Luggate, Tarras","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Monday
9,F3899702,22/01/2024 05:42:31,TIMARU TIMARU DISTRICT,01:07:51,Timaru,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
10,F3899715,22/01/2024 07:03:20,TOKO MOUTH CLUTHA DISTRICT,01:17:24,Milton,1300: VEGETATION FIRE (VEG),Monday
11,F3899717,22/01/2024 07:06:18,OWAKA CLUTHA DISTRICT,00:33:20,Owaka,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (STRU),Monday
12,F3899718,22/01/2024 07:12:14,GLENGARRY INVERCARGILL CITY,00:00:00,"Invercargill, Kingswell",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (RESC),Monday
13,F3899720,22/01/2024 07:23:34,KAITANGATA CLUTHA DISTRICT,00:00:00,Kaitangata,1100: STRUCTURE FIRE (STRU),Monday
14,F3899738,22/01/2024 08:00:48,REDWOOD CHRISTCHURCH CITY,00:23:29,"Redwood, Ilam",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (STRU),Monday
15,F3899739,22/01/2024 08:01:55,NORTH NEW BRIGHTON CHRISTCHURCH CITY,00:00:00,Anzac,1500: MISCELLANEOUS FIRE (MIN),Monday
16,F3899759,22/01/2024 08:36:10,MOSGIEL DUNEDIN CITY,00:00:00,Mosgiel,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
17,F3899772,22/01/2024 08:52:55,DUNEDIN CENTRAL DUNEDIN CITY,00:00:00,"Dunedin, Willowbank",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (STRU),Monday
18,F3899787,22/01/2024 09:22:36,WOODBOURNE MARLBOROUGH DISTRICT,00:17:06,"RNZAF Base Woodbourne, Renwick",7100: FALSE ALARM (STRU),Monday
19,F3899792,22/01/2024 09:29:43,CHRISTCHURCH CENTRAL CHRISTCHURCH CITY,00:27:54,Christchurch City,7100: FALSE ALARM (HAZGAS),Monday
20,F3899793,22/01/2024 09:31:10,HORNBY CHRISTCHURCH CITY,00:00:00,Wigram,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Monday
21,F3899802,22/01/2024 09:43:24,BROAD BAY DUNEDIN CITY,00:46:06,Portobello,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
22,F3899808,22/01/2024 09:47:46,MAKAREWA SOUTHLAND DISTRICT,00:56:20,"Wallacetown, Invercargill",1300: VEGETATION FIRE (VEG),Monday
23,F3899833,22/01/2024 10:21:07,GEORGETOWN INVERCARGILL CITY,00:00:00,Invercargill,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MED),Monday
24,F3899838,22/01/2024 10:26:15,POOLBURN CENTRAL OTAGO DISTRICT,00:00:00,Blackstone,1300: VEGETATION FIRE (VEG),Monday
25,F3899845,22/01/2024 10:34:25,RAPAURA MARLBOROUGH DISTRICT,00:21:29,"RNZAF Base Woodbourne, Renwick, Blenheim",7100: FALSE ALARM (STRU),Monday
26,F3899855,22/01/2024 10:43:51,LINWOOD CHRISTCHURCH CITY,00:25:20,"Christchurch City, Anzac",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (STRU),Monday
27,F3899858,22/01/2024 10:48:18,RAI VALLEY MARLBOROUGH DISTRICT,00:00:00,"Rai Valley, Havelock",1100: STRUCTURE FIRE (STRU),Monday
28,F3899867,22/01/2024 10:56:22,NORTH DUNEDIN DUNEDIN CITY,00:09:58,Willowbank,7100: FALSE ALARM (MIN),Monday
29,F3899876,22/01/2024 11:06:25,NORMANBY DUNEDIN CITY,00:41:34,Willowbank,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
30,F3899878,22/01/2024 11:09:37,SPRINGSTON SELWYN DISTRICT,00:00:00,Lincoln,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Monday
31,F3899884,22/01/2024 11:12:26,SYDENHAM CHRISTCHURCH CITY,00:13:43,Christchurch City,7100: FALSE ALARM (STRU),Monday
32,F3899886,22/01/2024 11:17:04,SYDENHAM CHRISTCHURCH CITY,00:17:20,Spreydon,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)",Monday
33,F3899902,22/01/2024 11:41:26,FERNSIDE WAIMAKARIRI DISTRICT,00:00:00,Cust,1500: MISCELLANEOUS FIRE (MIN),Monday
34,F3899917,22/01/2024 12:15:54,WOOLSTON CHRISTCHURCH CITY,01:07:22,"Woolston, Christchurch City",1100: STRUCTURE FIRE (STRU),Monday
35,F3899919,22/01/2024 12:17:56,OAMARU WAITAKI DISTRICT,00:15:47,Oamaru,7100: FALSE ALARM (MIN),Monday
36,F3899927,22/01/2024 12:28:39,WOODEND WAIMAKARIRI DISTRICT,00:00:00,Woodend,1500: MISCELLANEOUS FIRE (VEG),Monday
37,F3899937,22/01/2024 12:40:26,LOBURN WAIMAKARIRI DISTRICT,00:33:51,Rangiora,1500: MISCELLANEOUS FIRE (MIN),Monday
